"","SAMPID","SMTS"
"1","GTEX-1117F-0226-SM-5GZZ7","Adipose Tissue"
"2","GTEX-1117F-0426-SM-5EGHI","Muscle"
"3","GTEX-1117F-0526-SM-5EGHJ","Blood Vessel"
"4","GTEX-1117F-0626-SM-5N9CS","Blood Vessel"
"5","GTEX-1117F-0726-SM-5GIEN","Heart"
"6","GTEX-1117F-1326-SM-5EGHH","Adipose Tissue"
"7","GTEX-1117F-2426-SM-5EGGH","Uterus"
"8","GTEX-1117F-2526-SM-5GZY6","Vagina"
"9","GTEX-1117F-2826-SM-5GZXL","Breast"
"10","GTEX-1117F-2926-SM-5GZYI","Skin"
"11","GTEX-1117F-3026-SM-5GZYU","Salivary Gland"
"12","GTEX-1117F-3226-SM-5N9CT","Brain"
"13","GTEX-111CU-0126-SM-5GZWZ","Adrenal Gland"
"14","GTEX-111CU-0226-SM-5GZXC","Thyroid"
"15","GTEX-111CU-0326-SM-5GZXO","Lung"
"16","GTEX-111CU-0426-SM-5GZY1","Spleen"
"17","GTEX-111CU-0526-SM-5EGHK","Pancreas"
"18","GTEX-111CU-0626-SM-5EGHL","Esophagus"
"19","GTEX-111CU-0726-SM-5GZYD","Esophagus"
"20","GTEX-111CU-0826-SM-5EGIJ","Esophagus"
"21","GTEX-111CU-0926-SM-5EGIK","Stomach"
"22","GTEX-111CU-1026-SM-5EGIL","Adipose Tissue"
"23","GTEX-111CU-1126-SM-5EGIM","Skin"
"24","GTEX-111CU-1226-SM-5EGIN","Colon"
"25","GTEX-111CU-1326-SM-5NQ8L","Small Intestine"
"26","GTEX-111CU-1426-SM-5GZYP","Colon"
"27","GTEX-111CU-1526-SM-5N9FS","Prostate"
"28","GTEX-111CU-1726-SM-5EGHM","Testis"
"29","GTEX-111CU-1826-SM-5GZYN","Adipose Tissue"
"30","GTEX-111CU-2026-SM-5GZZC","Muscle"
"31","GTEX-111CU-2226-SM-5N9G5","Nerve"
"32","GTEX-111FC-0126-SM-5N9DL","Skin"
"33","GTEX-111FC-0226-SM-5N9B8","Adipose Tissue"
"34","GTEX-111FC-0326-SM-5GZZ1","Muscle"
"35","GTEX-111FC-0426-SM-5N9CV","Blood Vessel"
"36","GTEX-111FC-0526-SM-5GZZ8","Nerve"
"37","GTEX-111FC-0626-SM-5N9CU","Heart"
"38","GTEX-111FC-0826-SM-5GZWO","Heart"
"39","GTEX-111FC-1026-SM-5GZX1","Thyroid"
"40","GTEX-111FC-1126-SM-5GZWU","Lung"
"41","GTEX-111FC-1326-SM-5N9D9","Spleen"
"42","GTEX-111FC-1926-SM-5GZYC","Testis"
"43","GTEX-111FC-2026-SM-5GZYO","Prostate"
"44","GTEX-111FC-2526-SM-5GZXU","Skin"
"45","GTEX-111FC-2926-SM-5GZY7","Salivary Gland"
"46","GTEX-111FC-3126-SM-5GZZ2","Brain"
"47","GTEX-111FC-3326-SM-5GZYV","Brain"
"48","GTEX-111VG-0008-SM-5Q5BG","Skin"
"49","GTEX-111VG-0326-SM-5GZX7","Heart"
"50","GTEX-111VG-0526-SM-5N9BW","Thyroid"
"51","GTEX-111VG-0726-SM-5GIDC","Lung"
"52","GTEX-111VG-1626-SM-5EGIO","Skin"
"53","GTEX-111VG-1926-SM-5GIDO","Testis"
"54","GTEX-111VG-2226-SM-5N9DU","Colon"
"55","GTEX-111VG-2326-SM-5N9BK","Adipose Tissue"
"56","GTEX-111VG-2426-SM-5GZXD","Skin"
"57","GTEX-111VG-2526-SM-5GZXP","Nerve"
"58","GTEX-111VG-2626-SM-5GZY2","Muscle"
"59","GTEX-111YS-0006-SM-5NQBE","Blood"
"60","GTEX-111YS-0008-SM-5Q5BH","Skin"
"61","GTEX-111YS-0126-SM-5987T","Adrenal Gland"
"62","GTEX-111YS-0326-SM-5GZZ3","Heart"
"63","GTEX-111YS-0426-SM-5987O","Heart"
"64","GTEX-111YS-0526-SM-5GZXJ","Blood Vessel"
"65","GTEX-111YS-0626-SM-5GZXV","Lung"
"66","GTEX-111YS-0726-SM-5GZY8","Thyroid"
"67","GTEX-111YS-0826-SM-5GZYK","Esophagus"
"68","GTEX-111YS-0926-SM-5EGGI","Esophagus"
"69","GTEX-111YS-1026-SM-5GZYE","Esophagus"
"70","GTEX-111YS-1126-SM-5GZYQ","Stomach"
"71","GTEX-111YS-1226-SM-5EGGJ","Pancreas"
"72","GTEX-111YS-1326-SM-5EGGK","Adipose Tissue"
"73","GTEX-111YS-1426-SM-5GID8","Small Intestine"
"74","GTEX-111YS-1526-SM-5GZYW","Skin"
"75","GTEX-111YS-1626-SM-5GZZ9","Colon"
"76","GTEX-111YS-1726-SM-5GIED","Prostate"
"77","GTEX-111YS-1826-SM-5GIEP","Colon"
"78","GTEX-111YS-1926-SM-5GICC","Breast"
"79","GTEX-111YS-2026-SM-5EGGL","Testis"
"80","GTEX-111YS-2126-SM-5EGGM","Nerve"
"81","GTEX-111YS-2226-SM-5987P","Blood Vessel"
"82","GTEX-111YS-2326-SM-5987L","Muscle"
"83","GTEX-111YS-2426-SM-5GZZQ","Adipose Tissue"
"84","GTEX-1122O-0003-SM-5Q5DL","Blood"
"85","GTEX-1122O-0005-SM-5O99J","Blood"
"86","GTEX-1122O-0008-SM-5QGR2","Skin"
"87","GTEX-1122O-0126-SM-5GICA","Lung"
"88","GTEX-1122O-0226-SM-5N9DA","Thyroid"
"89","GTEX-1122O-0326-SM-5H124","Adrenal Gland"
"90","GTEX-1122O-0426-SM-5H12G","Blood Vessel"
"91","GTEX-1122O-0526-SM-5N9DM","Spleen"
"92","GTEX-1122O-0626-SM-5N9B9","Heart"
"93","GTEX-1122O-0726-SM-5GIEV","Pancreas"
"94","GTEX-1122O-0826-SM-5GICV","Heart"
"95","GTEX-1122O-0926-SM-9YFLC","Adipose Tissue"
"96","GTEX-1122O-1026-SM-9WYSF","Skin"
"97","GTEX-1122O-1126-SM-5NQ8X","Blood Vessel"
"98","GTEX-1122O-1226-SM-5H113","Breast"
"99","GTEX-1122O-1326-SM-5H11F","Small Intestine"
"100","GTEX-1122O-1426-SM-5H11R","Colon"
"101","GTEX-1122O-1526-SM-5N9CL","Colon"
"102","GTEX-1122O-1626-SM-5N9CX","Esophagus"
"103","GTEX-1122O-1726-SM-5GICM","Esophagus"
"104","GTEX-1122O-1826-SM-5EGIP","Esophagus"
"105","GTEX-1122O-1926-SM-5EGIQ","Stomach"
"106","GTEX-1122O-2026-SM-9YFMG","Adipose Tissue"
"107","GTEX-1122O-2126-SM-5EGIR","Skin"
"108","GTEX-1122O-2326-SM-9YFL9","Blood Vessel"
"109","GTEX-1122O-2426-SM-5GIDN","Muscle"
"110","GTEX-1128S-0005-SM-5P9HI","Blood"
"111","GTEX-1128S-0008-SM-5Q5DP","Skin"
"112","GTEX-1128S-0126-SM-5H12S","Thyroid"
