Gene	X237L.Vneut	X237L.Bldneut	X244L.Vneut	X244L.Bldneut	X253L.Vneut	X253L.Bldneut	X270L.Vneut	X270L.Bldneut	X131_V.Neut	X131_Bld.Neut	X132_V.Neut	X132_Bld.Neut	X135_V.Neut	X135_Bld.Neut	X136_V.Neut	X136.Bld.Neut	X138L_V.Neut	X138L_Bld.Neut	X139L_V.Neut	X139L_Bld.Neut	X141_V.Neut	X141_Bld.Neut	X143_V.Neut	X143_Bld.Neut	X146_V.Neut	X146_Bld.Neut	X149_V.Neut	X149_Bld.Neut	X154_V.Neut	X154_Bld.Neut
43525	1	263	0	185	31	301	1	29	0	11	0	81	31	68	0	4	4	5	0	45	0	27	0	15	0	36	7	65	0	57
43526	208	462	199	504	28	472	1	464	66	731	83	1276	425	1055	143	877	204	923	0	862	8	1022	795	1458	0	1019	194	616	112	308
43527	3	19	19	21	0	20	0	18	0	9	12	45	28	43	13	76	64	31	0	16	1	42	0	69	0	29	16	26	0	41
43528	1	2	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
43529	62	287	210	216	21	387	0	341	35	82	23	209	53	135	7	177	35	208	5	131	0	142	0	238	21	119	24	49	12	133
43530	1370	971	1043	1133	204	1141	1	669	226	550	232	1094	376	804	437	561	395	1052	0	630	842	741	375	983	460	853	578	264	158	790
43531	171	718	547	895	32	950	2	762	10	79	21	188	31	91	2	21	53	202	69	85	0	117	31	81	4	184	93	42	19	67
43532	178	808	675	1961	140	1099	0	618	142	267	103	606	203	378	90	235	164	606	126	338	132	603	1	668	17	422	334	218	68	437
43533	0	28	5	74	0	69	1	17	17	54	4	72	48	99	11	48	26	19	0	25	0	25	95	53	2	28	19	71	0	133
43534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43709	0	47	0	128	0	98	1	6	4	25	0	13	19	34	0	1	0	5	0	6	0	9	0	6	0	11	0	16	0	22
43710	537	412	455	558	140	659	4	264	96	120	58	374	152	346	40	87	317	253	95	268	0	347	45	412	95	195	103	174	39	332
43711	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
43712	0	4	0	2	0	0	4	9	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	2	0	0	1	0	0
43713	47	295	541	381	1	164	0	191	145	114	56	359	213	240	96	223	254	296	59	232	413	174	241	309	36	108	205	164	43	365
43714	0	372	186	352	8	577	18	122	42	85	4	158	31	141	13	19	33	67	19	120	55	104	12	109	0	72	22	70	7	157
43715	419	3399	1829	1900	339	2486	5	1188	854	942	520	1788	1292	1574	429	1829	527	1532	80	1234	1048	1567	1495	2636	176	1274	1152	945	366	2704
43716	0	6	1	11	0	31	5	3	68	7	0	16	26	24	29	0	28	4	0	8	1	1	0	3	383	4	6	6	6	25
43717	865	1001	1537	1223	499	1236	57	591	680	375	350	1150	1372	1136	551	1281	368	711	1313	790	192	762	654	1486	231	624	667	529	177	2365
43718	244	0	10	1	1	16	2	0	35	1	0	9	2	11	0	0	0	3	0	12	0	0	0	4	0	2	10	1	2	4
43719	117	284	3	177	1	180	1	32	95	22	2	47	34	78	0	4	48	15	0	46	2	30	54	38	5	54	13	60	10	94
43720	0	5	0	10	0	1	0	14	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
43722	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
43723	462	1257	650	725	98	1197	1	679	95	341	144	799	499	751	114	392	236	689	243	514	0	614	81	1159	172	740	402	313	117	818
43800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	0	2	0	14	2	1	3	1	0	0	0	1	1	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	5	10	3	0	1	0	4	190	0	2	0	3	1	10	0	26	2	0	1	0	0	1359	1	0	0	65	1	20	0
A2M-AS1	0	83	0	116	1	25	1	99	68	59	0	23	67	52	7	10	7	125	0	73	1	1	0	17	33	30	2	61	3	19
A2ML1	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	77	5	0	0	0	0	1	2	50	0	0	0	0	1	0	0	0	0	0	5	0	0	0	2	0	2	2	1	0	0
A4GNT	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	66	0	44	0	8	2	71	1	20	0	3	0	5	0	0	1	52	4	23	0	0	0	0	7	5	0	23	0	0
AAAS	0	10	2	34	1	54	5	12	0	3	0	14	1	19	0	2	0	7	0	6	0	2	0	8	0	5	2	17	0	21
AACS	73	104	33	34	0	37	1	15	4	16	4	38	7	18	0	7	0	8	26	16	0	17	0	18	0	16	14	22	2	32
AACSP1	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	156	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0
AADACL2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAED1	0	275	7	123	0	95	1	597	6	50	0	40	2	34	2	3	13	100	0	101	0	5	0	3	68	67	4	77	5	13
AAGAB	20	209	78	144	0	266	1	101	19	82	5	130	50	172	10	52	0	125	176	107	2	113	1	136	0	99	54	90	17	108
AAK1	1	4	42	9	0	16	0	7	0	6	0	16	0	0	3	1	32	5	0	9	0	10	0	6	0	6	14	4	1	18
AAMDC	104	28	14	35	4	42	5	16	0	8	2	24	8	15	4	6	27	12	0	11	0	11	0	14	0	16	8	10	10	10
AAMP	102	74	27	126	18	169	2	25	95	126	22	300	193	323	29	53	123	249	463	215	435	208	2	241	356	202	54	159	0	260
AANAT	0	1	0	2	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AAR2	158	102	12	101	12	140	0	29	22	38	0	67	84	90	8	3	0	24	0	50	0	37	0	30	0	51	29	91	0	48
AARD	45	21	5	92	25	4	17	38	2	0	0	1	0	0	4	1	76	0	41	0	71	0	48	0	111	0	1	0	3	2
AARS	523	29	2	82	5	52	5	21	0	26	19	73	41	121	15	25	54	11	0	43	0	30	0	64	1	34	17	53	6	150
AARS2	70	12	10	34	0	46	0	5	0	5	0	19	21	30	16	10	0	7	0	18	0	12	0	22	0	11	19	9	0	48
AASDH	35	5	0	3	0	12	0	0	0	7	0	11	3	7	0	1	3	2	0	8	0	1	0	1	0	1	0	6	0	0
AASDHPPT	27	61	25	62	8	70	0	21	0	92	1	205	52	197	6	52	91	94	0	116	126	104	0	174	1	106	39	101	0	88
AASS	0	0	0	9	0	3	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AATF	788	1053	1056	729	237	1743	2	651	197	342	150	590	164	486	75	87	199	543	980	376	238	584	110	554	30	449	384	266	172	561
AATK	565	720	1547	859	386	958	7	926	1162	309	1168	832	561	524	1440	1036	1054	1034	382	494	1096	1199	361	1668	823	701	793	138	521	755
ABAT	263	199	413	259	104	283	0	167	610	588	89	1299	326	776	502	2011	486	1363	0	953	4	944	4	2582	0	843	350	319	174	1226
ABCA1	1025	371	680	488	311	648	2	470	154	184	83	166	190	207	108	396	296	468	76	180	112	472	34	668	390	404	369	170	154	655
ABCA10	95	1	1	1	0	2	0	1	148	1	10	0	12	2	4	0	13	3	0	1	53	0	74	2	0	3	1	0	2	0
ABCA11P	120	379	80	275	41	192	8	238	0	93	14	165	37	165	13	213	26	126	0	101	10	129	1	217	63	83	25	92	27	149
ABCA12	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	3	5	6	4	3	6	2	7	34	1	2	52	0	6	6	3	0	6	117	5	1	6	0	7	0	3	23	3	11	12
ABCA17P	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	79	148	175	224	5	282	3	157	362	160	76	318	92	183	94	281	41	180	37	76	40	313	89	216	1	105	38	73	57	160
ABCA3	111	0	2	10	4	6	1	9	0	13	0	27	44	34	0	17	0	6	0	15	0	6	4	14	272	19	0	9	0	26
ABCA4	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	162	146	96	110	6	94	0	40	9	62	10	118	22	70	7	4	15	111	0	82	1	50	0	37	0	97	39	35	18	43
ABCA6	125	0	3	0	0	1	0	0	396	0	11	2	0	3	68	1	60	1	0	1	458	0	488	0	0	1	95	0	22	1
ABCA7	10	248	319	329	121	324	2	296	93	92	97	151	82	151	162	150	215	200	47	206	236	197	85	176	219	157	283	150	69	159
ABCA8	839	0	5	0	0	0	3	0	154	0	10	0	2	0	64	0	8	0	282	0	208	0	235	0	36	0	27	0	9	0
ABCA9	433	0	1	3	0	2	1	1	225	0	3	0	5	0	69	1	62	0	117	0	280	0	350	0	0	0	35	0	7	0
ABCB1	85	10	0	38	1	70	0	1	0	10	0	45	10	67	4	12	0	2	0	17	0	6	1	20	0	17	0	26	0	36
ABCB10	135	206	21	195	4	182	0	32	82	54	10	132	13	203	25	89	19	42	0	103	0	139	0	191	0	107	31	146	26	307
ABCB11	0	2	3	0	0	2	2	3	0	2	0	8	0	2	0	0	0	5	0	2	0	6	0	3	0	0	0	4	0	7
ABCB4	0	0	0	0	0	6	0	0	0	1	0	12	0	20	0	2	0	0	0	1	0	0	1	2	0	0	0	4	0	4
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	0	89	23	77	0	18	1	85	0	45	23	56	4	29	24	35	63	110	0	61	0	41	551	47	0	26	31	33	10	45
ABCB7	189	105	15	80	0	114	7	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ABCB8	8	1	0	3	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCB9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	5	279	143	206	39	182	0	81	63	67	47	126	225	199	124	158	39	109	73	98	1	150	24	285	0	104	137	123	83	494
ABCC10	73	24	22	100	1	50	0	13	1	6	3	23	16	38	7	4	19	8	0	8	0	16	0	17	0	6	4	8	13	42
ABCC11	0	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	194	1	0	0	1	0	0	0
ABCC12	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	5	1	47	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0
ABCC2	0	14	17	23	4	29	0	26	0	9	9	9	0	4	1	6	0	24	0	20	0	17	0	12	0	20	10	10	12	9
ABCC3	0	0	0	31	0	12	1	0	0	0	0	6	0	3	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0
ABCC4	0	17	0	97	0	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0
ABCC5	361	403	716	350	0	459	0	136	51	80	35	277	124	188	39	31	70	340	0	126	2	227	137	139	74	58	68	62	74	189
ABCC6	0	3	11	3	0	4	1	5	3	0	0	2	2	0	0	1	0	2	0	3	1	0	0	0	0	0	5	1	0	0
ABCC6P1	1	8	0	14	2	4	0	16	0	2	0	3	0	2	3	6	2	10	12	12	4	0	0	0	17	4	1	7	0	0
ABCC8	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
ABCC9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	215	124	145	110	31	162	0	127	250	55	139	180	103	149	89	142	226	113	404	77	0	241	88	289	0	131	69	69	0	227
ABCD2	0	2	0	23	0	9	0	0	0	26	0	11	1	18	0	3	0	0	0	5	18	1	0	11	0	12	3	22	0	22
ABCD3	54	86	30	57	10	125	0	19	12	32	0	51	22	59	0	24	17	14	0	42	0	18	0	34	1	25	6	42	1	43
ABCD4	30	103	26	115	0	119	0	80	236	87	9	98	53	144	44	143	7	120	51	79	1	82	0	191	0	79	42	94	35	172
ABCE1	286	440	9	403	0	316	11	699	0	233	3	127	28	136	9	56	5	363	22	433	1	20	0	30	36	146	6	240	1	35
ABCF1	224	72	62	197	0	246	2	62	47	58	123	88	114	107	68	11	39	73	94	47	1	95	48	114	37	37	48	51	19	133
ABCF2	236	119	21	187	1	195	1	132	0	93	7	152	37	204	20	58	36	133	89	158	0	48	0	134	47	101	7	150	0	116
ABCF3	122	129	79	137	23	181	5	78	0	23	7	34	7	17	5	10	15	36	0	31	0	28	0	34	12	14	8	10	1	20
ABCG1	12	61	122	65	28	65	3	139	1	5	1	6	3	4	0	0	23	15	25	4	5	4	0	4	10	4	12	4	3	6
ABCG2	0	0	0	0	0	0	3	0	0	1	0	2	0	5	0	2	0	2	0	0	0	0	0	3	0	1	0	2	0	1
ABCG4	1	42	1	70	0	6	2	77	0	5	0	2	0	2	0	0	0	31	0	12	0	0	0	0	0	2	0	5	0	0
ABCG5	1	1	0	1	1	0	14	2	0	0	0	0	0	2	0	0	0	1	0	2	0	0	2	0	0	0	0	4	0	0
ABCG8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ABHD1	3	78	1	63	0	10	0	87	0	47	0	9	20	13	2	1	28	124	120	74	0	2	0	4	66	17	2	31	4	1
ABHD10	7	118	0	62	0	91	0	21	0	14	0	31	11	41	0	12	6	3	0	27	43	24	2	39	32	16	1	25	0	33
