"term","estimate","std.error","statistic","p.value","log2fc","colind","labtext","patient","t6820.ind","direction","patnum","protval","nudgeval","patval","sizeval","pointlab"
"k__Bacteria",3.18498137243814,3.38467498682867,0.94100065289352,0.346704524599356,0.212986658741866,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"a",NA
"p__Acidobacteria",215.563650374075,221.085395532627,0.975024378497504,0.329548167456618,2.33912820993303,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"p__Actinobacteria",49.7041541628025,44.6160410882767,1.11404223571649,0.265261067793121,3.145849756928,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"p__Bacteroidetes",-5.80145169313775,16.7783193530012,-0.345770727751705,0.729515025646846,-0.715196479137318,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"a",NA
"p__Cyanobacteria",-41.1781525048549,80.2913713736314,-0.512859000915985,0.6080499544632,-2.62238368157379,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"p__Firmicutes",14.6741700616407,13.8922002098909,1.05628840931857,0.290836469752257,1.32790967912895,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"b",NA
"p__Proteobacteria",0.34704911865339,2.52736960252307,0.137316330111326,0.890780763142285,0.0470855777146448,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"p__Verrucomicrobia",-10.6586411619347,27.3275141601023,-0.390033323173469,0.696511906088649,-0.652196181453011,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"a",NA
"c__Acidobacteria",-3981.61413934897,927772.542242508,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"c__Actinobacteria",38.6507522785607,30.4924508031514,1.26755151719606,0.204958155093065,3.04324487852176,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"c__Alphaproteobacteria",6.42821214052698,5.75590632335718,1.11680277256105,0.264078663132072,0.53756688715904,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"c__Bacilli",29.0966587237948,33.859797874145,0.85932759645954,0.390159803035052,2.64610220814182,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"c__Bacteroidia",-7.94696227157222,18.4591419920137,-0.430516341171786,0.666820082287976,-1.1001208323633,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"c__Betaproteobacteria",0.973718493861071,4.30215207133528,0.226332885894211,0.820942522684595,0.0858355580794191,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"c__Blastocatellia",1713.1882198151,366710.847320141,0.00467176859461557,0.996272481525828,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"c__Chloroplast",-41.1781525048549,80.2913713736314,-0.512859000915985,0.6080499544632,-2.62238368157379,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"c__Clostridia",-65.0942044860873,57.508045721441,-1.13191473765936,0.257670282056885,-1.39469226013193,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"c__Coriobacteriia",264.79204516533,205.721355969525,1.28713931481453,0.198045734423747,4.15795529951924,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"c__Deltaproteobacteria",-1671.06111894832,389380.93152911,-0.00429158436800184,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"c__Epsilonproteobacteria",5370.36056007779,1149534.79634313,0.00467176859470617,0.996272481525756,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"c__Erysipelotrichia",2077.52563007202,444697.888593398,0.00467176859472694,0.996272481525739,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"c__Flavobacteriia",11311.1759019205,2140223.63325572,0.00528504392072049,0.995783164683057,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"c__Gammaproteobacteria",-26.5520364042705,21.2070837530472,-1.25203619288085,0.210556676106879,-1.51580045040456,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"b",NA
"c__Negativicutes",8412.95032375701,1800806.30133328,0.00467176859472794,0.996272481525738,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"c__Sphingobacteriia",-186.58301596801,359.219435545561,-0.519412363322265,0.603473211618534,-1.26259601317655,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"c__Thermoleophilia",5178.10421545573,1108381.99935962,0.00467176859462479,0.996272481525821,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"c__Verrucomicrobiae",-10.6586411619347,27.3275141601023,-0.390033323173469,0.696511906088649,-0.652196181453011,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"a",NA
"o__Actinomycetales",3721.48484780476,796590.150463358,0.00467176859472849,0.996272481525738,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Aeromonadales",16734.8961598071,3582132.93761278,0.00467176859465177,0.996272481525799,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"o__Bacillales",73.9993374740645,81.6843522236286,0.905918152738426,0.364979175392539,4.39687202574444,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Bacteroidales",-7.94696227157222,18.4591419920137,-0.430516341171786,0.666820082287976,-1.1001208323633,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"o__Bifidobacteriales",188.280075936066,40301.669938998,0.00467176859472705,0.996272481525739,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Blastocatellales",1713.1882198151,366710.847320141,0.00467176859461557,0.996272481525828,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Burkholderiales",0.993192023545619,4.30848963110087,0.230519766457427,0.817687905622082,0.0879727905925952,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"o__Campylobacterales",5370.36056007779,1149534.79634313,0.00467176859470617,0.996272481525756,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"o__Caulobacterales",114.626695903765,68.5351025175829,1.67252534384635,0.0944207745736446,1.44960239128288,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"o__Clostridiales",-65.0942044860873,57.508045721441,-1.13191473765936,0.257670282056885,-1.39469226013193,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"o__Coriobacteriales",264.79204516533,205.721355969525,1.28713931481453,0.198045734423747,4.15795529951924,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Corynebacteriales",63.6522419821089,62.4261314836662,1.01964098157778,0.307898761400399,2.8805519596314,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Enterobacteriales",-318.50592879755,342.064387358264,-0.931128584467229,0.351787054034707,-3.19927728320096,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
